[1020/151016:ERROR:process_info.cc(608)] range at 0xfe544000, size 0x230 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe35f000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe33b000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe338000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe392000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe374000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe371000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe37a000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe377000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe34d000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe34a000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe39e000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe36e000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe368000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe35c000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe347000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe344000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe356000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe350000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe359000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe353000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe36b000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe341000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe323000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe320000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe31d000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe31a000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe33e000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe335000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe37d000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe32f000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe32c000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe329000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe2f6000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe2f3000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe308000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe305000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe314000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe302000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe326000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe30e000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe2ff000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe2fc000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe317000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe311000, size 0xf84 fully unreadable
[1020/151019:ERROR:process_info.cc(608)] range at 0xfe3f2000, size 0xf84 fully unreadable
[0404/175253.517:ERROR:file_io_win.cc(163)] CreateFile C:\Program Files (x86)\temp\settings.dat: Access is denied. (0x5)
[0404/175253.689:ERROR:registration_protocol_win.cc(83)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0404/175253.704:ERROR:crashpad_win.cc(223)] Crashpad handler failed to start, crash reporting disabled
